
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
-9.14377332e-01, -5.09286547e+00, 1.24020576e-02, 3.90677063e+02, 9.18223267e+01, -1.08503783e+00, 0.00000000e+00
1.13619251e+01, 4.48962879e+00, 1.24020576e-02, 5.52395859e+01, 9.42510910e+01, -2.04123664e+00, 0.00000000e+00
1.12583933e+01, 4.83234787e+00, 1.24020576e-02, 5.22784195e+01, 9.46027451e+01, -1.98164833e+00, 0.00000000e+00
1.09747934e+01, 4.60414457e+00, 1.24020576e-02, 5.65351486e+01, 9.45162048e+01, -2.12499022e+00, 0.00000000e+00
1.42840123e+00, 5.40621614e+00, 1.24020576e-02, 1.52483124e+02, 9.45845108e+01, -3.92367363e-01, 0.00000000e+00
1.21077549e+00, 5.19763041e+00, 1.24020576e-02, 1.56274750e+02, 9.43547363e+01, -6.27721101e-02, 0.00000000e+00
1.56102991e+00, 5.10710430e+00, 1.24020576e-02, 1.22069489e+02, 9.45775146e+01, -2.69390970e-01, 0.00000000e+00
-1.56278954e+01, -5.80772209e+00, 1.24020576e-02, 1.44688904e+03, 8.01391296e+01, 9.51047301e-01, 0.00000000e+00
-1.57268124e+01, -6.06373739e+00, 1.24020576e-02, 1.49900952e+03, 8.01384506e+01, 8.68298411e-01, 0.00000000e+00
-1.54363203e+01, -5.93050861e+00, 1.24020576e-02, 1.45305688e+03, 8.03765717e+01, 1.52920353e+00, 0.00000000e+00
1.34121871e+00, 5.69558764e+00, 1.24020576e-02, 1.76462509e+02, 9.39457855e+01, -5.12373447e-01, 0.00000000e+00
1.41314375e+00, 6.00444031e+00, 1.24020576e-02, 1.92939651e+02, 9.13833618e+01, -6.63614869e-01, 0.00000000e+00
1.07937729e+00, 6.00861979e+00, 1.24020576e-02, 2.11605148e+02, 9.10999069e+01, -4.72976148e-01, 0.00000000e+00
7.68501663e+00, 4.56264591e+00, 1.24020576e-02, 9.24965591e+01, 9.41053848e+01, -1.84727061e+00, 0.00000000e+00
7.40240335e+00, 4.52089310e+00, 1.24020576e-02, 9.48305359e+01, 9.39342422e+01, -1.91690123e+00, 0.00000000e+00
7.54421711e+00, 4.31118250e+00, 1.24020576e-02, 9.90522079e+01, 9.36252670e+01, -1.76564634e+00, 0.00000000e+00
-8.15034485e+00, 1.10669219e+00, 1.24020576e-02, 9.32179749e+02, 8.23619385e+01, -2.38460079e-01, 0.00000000e+00
-8.12454224e+00, 8.28487873e-01, 1.24020576e-02, 9.34465698e+02, 8.23022690e+01, -1.70946822e-01, 0.00000000e+00
-7.84360075e+00, 1.05608022e+00, 1.24020576e-02, 9.27376160e+02, 8.24136963e+01, -1.90006301e-01, 0.00000000e+00
1.18070173e+01, -5.64033794e+00, 1.24020576e-02, 5.87600403e+01, 9.09654007e+01, 1.54074395e+00, 0.00000000e+00
1.18561697e+01, -5.94319916e+00, 1.24020576e-02, 5.93541222e+01, 8.52471161e+01, 1.38347495e+00, 0.00000000e+00
1.20771236e+01, -5.76288891e+00, 1.24020576e-02, 5.34263763e+01, 8.92949753e+01, 1.54474258e+00, 0.00000000e+00
-8.44694519e+00, -6.77540207e+00, 1.24020576e-02, 8.25921387e+02, 7.04544907e+01, 1.44245183e+00, 0.00000000e+00
-8.35048866e+00, -6.39479303e+00, 1.24020576e-02, 8.24668701e+02, 8.57613449e+01, 2.14591336e+00, 0.00000000e+00
-8.75547886e+00, -6.45028877e+00, 1.24020576e-02, 8.37995605e+02, 8.50458527e+01, 2.18111253e+00, 0.00000000e+00
-8.27975559e+00, -3.22613382e+00, 1.24020576e-02, 9.05642151e+02, 8.35380478e+01, 9.27621543e-01, 0.00000000e+00
-8.24206734e+00, -3.55316281e+00, 1.24020576e-02, 8.97251770e+02, 8.38841934e+01, 1.04424918e+00, 0.00000000e+00
-7.95661974e+00, -3.34246135e+00, 1.24020576e-02, 8.93417297e+02, 8.37681961e+01, 8.81939411e-01, 0.00000000e+00
8.05858040e+00, 1.44145918e+00, 1.24020576e-02, 1.83780991e+02, 8.12335205e+01, 8.60638332e+00, 0.00000000e+00
