
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
4.67475176e+00, -2.40733337e+00, 1.24020576e-02, 1.31035416e+02, 9.15197983e+01, 4.65753406e-01, 0.00000000e+00
4.76361513e+00, -2.79388952e+00, 1.24020576e-02, 9.38440247e+01, 9.25093765e+01, 1.06779158e+00, 0.00000000e+00
5.01568604e+00, -2.53484559e+00, 1.24020576e-02, 1.21224289e+02, 9.26937790e+01, 3.08153361e-01, 0.00000000e+00
-7.96529722e+00, 2.58751059e+00, 1.24020576e-02, 9.03141479e+02, 8.31405869e+01, -5.93879580e-01, 0.00000000e+00
-7.60759115e+00, 2.30978775e+00, 1.24020576e-02, 9.01907410e+02, 8.30473251e+01, -4.34872448e-01, 0.00000000e+00
-7.55931330e+00, 2.69858170e+00, 1.24020576e-02, 8.90033020e+02, 8.33402481e+01, -5.19683003e-01, 0.00000000e+00
3.97336960e+00, -5.07780886e+00, 1.24020576e-02, 7.58259888e+01, 9.49191284e+01, 1.95999539e+00, 0.00000000e+00
3.59306431e+00, -5.01902437e+00, 1.24020576e-02, 7.37238235e+01, 9.48391647e+01, 1.82116473e+00, 0.00000000e+00
3.70684528e+00, -5.40459299e+00, 1.24020576e-02, 8.99834595e+01, 9.49431839e+01, 1.88749254e+00, 0.00000000e+00
-6.49703121e+00, 7.00840521e+00, 1.24020576e-02, 7.06728149e+02, 5.05692482e+01, -4.31493968e-01, 0.00000000e+00
-6.44084883e+00, 6.67744112e+00, 1.24020576e-02, 7.22540649e+02, 7.40699615e+01, -8.56684029e-01, 0.00000000e+00
-6.15410089e+00, 6.91503525e+00, 1.24020576e-02, 7.09840515e+02, 5.73707886e+01, -3.36210877e-01, 0.00000000e+00
1.18210297e+01, -4.78790045e+00, 1.24020576e-02, 5.75908356e+01, 9.50961075e+01, 1.45591533e+00, 0.00000000e+00
1.20417356e+01, -4.68585014e+00, 1.24020576e-02, 5.25492058e+01, 9.51837921e+01, 1.50801575e+00, 0.00000000e+00
9.18866253e+00, 4.65178013e+00, 1.24020576e-02, 7.28395615e+01, 9.48350525e+01, -1.98984623e+00, 0.00000000e+00
8.94102955e+00, 4.38381910e+00, 1.24020576e-02, 7.96403885e+01, 9.44859238e+01, -1.84414709e+00, 0.00000000e+00
9.27689838e+00, 4.33706188e+00, 1.24020576e-02, 7.45190201e+01, 9.45326920e+01, -1.95846236e+00, 0.00000000e+00
-5.81621122e+00, 6.99061203e+00, 1.24020576e-02, 6.92276550e+02, 5.12359390e+01, -2.14888811e-01, 0.00000000e+00
-5.66238737e+00, 7.20340967e+00, 1.24020576e-02, 6.86649292e+02, 3.10525570e+01, -1.37403771e-01, 0.00000000e+00
-5.97353792e+00, 7.20359707e+00, 1.24020576e-02, 7.02130127e+02, 3.06937408e+01, -3.85516393e-03, 0.00000000e+00
1.00807648e+01, 2.76131487e+00, 1.24020576e-02, 5.39963837e+01, 9.43639603e+01, -3.66565847e+00, 0.00000000e+00
9.90526199e+00, 2.42291832e+00, 1.24020576e-02, 3.55564003e+01, 9.55586319e+01, -3.99391675e+00, 0.00000000e+00
-5.21601105e+00, 6.82123375e+00, 1.24020576e-02, 6.87529236e+02, 6.34131088e+01, -3.32952261e-01, 0.00000000e+00
-1.40126410e+01, -4.27138805e+00, 1.24020576e-02, 1.18024023e+03, 8.09075394e+01, 1.67215395e+00, 0.00000000e+00
7.31748295e+00, -2.14970493e+00, 1.24020576e-02, 6.18464661e+01, 9.43217773e+01, 7.02520895e+00, 0.00000000e+00
7.05312538e+00, -1.99992585e+00, 1.24020576e-02, 2.49519215e+01, 9.61555405e+01, 6.86087942e+00, 0.00000000e+00
7.06640387e+00, -2.32480025e+00, 1.24020576e-02, 5.89614372e+01, 9.50065842e+01, 5.60464239e+00, 0.00000000e+00
-1.18560352e+01, -4.91104221e+00, 1.24020576e-02, 1.03698132e+03, 8.35438461e+01, 2.66130376e+00, 0.00000000e+00
-1.17414913e+01, -5.21759367e+00, 1.24020576e-02, 1.02353296e+03, 8.42434387e+01, 2.92141938e+00, 0.00000000e+00
-1.15524216e+01, -4.99486351e+00, 1.24020576e-02, 1.01495648e+03, 8.39562302e+01, 2.67732143e+00, 0.00000000e+00
-6.31118727e+00, 1.42775393e+00, 1.24020576e-02, 9.05356873e+02, 8.27398758e+01, 4.70929332e-02, 0.00000000e+00
-2.46673107e+00, 6.70261955e+00, 1.24020576e-02, 5.02450409e+02, 6.93419571e+01, 3.97737809e-02, 0.00000000e+00
-2.46259522e+00, 6.96389484e+00, 1.24020576e-02, 4.98363495e+02, 5.20443916e+01, 4.58214842e-02, 0.00000000e+00
1.08582640e+01, -6.36528492e+00, 1.24020576e-02, 6.74544525e+01, 7.22480392e+01, 9.18874025e-01, 0.00000000e+00
1.25502644e+01, 3.39158821e+00, 1.24020576e-02, 6.24346619e+01, 9.18359680e+01, -9.85760272e-01, 0.00000000e+00
8.97971725e+00, -2.71983337e+00, 1.24020576e-02, 1.69230225e+02, 8.91587296e+01, 2.80215168e+00, 0.00000000e+00
8.97742748e+00, -2.36726165e+00, 1.24020576e-02, 1.90268875e+02, 8.75344620e+01, 3.22699285e+00, 0.00000000e+00
-1.17465305e+01, -6.41435051e+00, 1.24020576e-02, 9.77876831e+02, 8.80234604e+01, 4.08158302e+00, 0.00000000e+00
-1.20672665e+01, -6.43861294e+00, 1.24020576e-02, 1.00664636e+03, 8.79071732e+01, 4.35454226e+00, 0.00000000e+00
-1.19364195e+01, -6.68137836e+00, 1.24020576e-02, 9.74833862e+02, 8.56887283e+01, 4.13836908e+00, 0.00000000e+00
1.21526394e+01, 6.23150349e+00, 1.24020576e-02, 4.22912560e+01, 7.55103302e+01, -1.02580833e+00, 0.00000000e+00
1.24319487e+01, 6.14188814e+00, 1.24020576e-02, 4.11457253e+01, 7.83666534e+01, -1.12725472e+00, 0.00000000e+00
1.23540068e+01, 6.50261497e+00, 1.24020576e-02, 4.56690445e+01, 6.36476288e+01, -7.89565325e-01, 0.00000000e+00
-1.30970249e+01, 4.71300110e-02, 1.24020576e-02, 1.07399060e+03, 8.05332336e+01, -2.58611534e-02, 0.00000000e+00
1.29898109e+01, 5.57252264e+00, 1.24020576e-02, 2.75152264e+01, 9.11811218e+01, -1.43218088e+00, 0.00000000e+00
1.32132416e+01, 5.70447254e+00, 1.24020576e-02, 2.42597866e+01, 8.92189941e+01, -1.40391958e+00, 0.00000000e+00
1.29445934e+01, 5.80981874e+00, 1.24020576e-02, 2.86861954e+01, 8.75719986e+01, -1.37676191e+00, 0.00000000e+00
1.17461796e+01, 7.18969584e+00, 1.24020576e-02, 4.19362144e+01, 2.20132904e+01, -1.43445730e-01, 0.00000000e+00
1.14529152e+01, 7.20263529e+00, 1.24020576e-02, 3.99920616e+01, 2.12913570e+01, -9.26046744e-02, 0.00000000e+00
1.16058302e+01, 6.90527058e+00, 1.24020576e-02, 3.90905533e+01, 4.09897270e+01, -2.86077499e-01, 0.00000000e+00
8.14877450e-01, 6.57125616e+00, 1.24020576e-02, 2.51640457e+02, 7.52951584e+01, -3.14226657e-01, 0.00000000e+00
5.27212715e+00, -5.78799248e-01, 1.24020576e-02, 1.94925217e+02, 3.88813972e+01, -1.64813290e+01, 0.00000000e+00
5.22262526e+00, -2.99492300e-01, 1.24020576e-02, 2.30300293e+01, 3.50496330e+01, -2.02480469e+01, 0.00000000e+00
4.99556255e+00, -4.70793217e-01, 1.24020576e-02, 1.65640228e+02, 3.17634792e+01, -1.21498346e+01, 0.00000000e+00
-1.26594915e+01, -5.18114138e+00, 1.24020576e-02, 1.09629846e+03, 8.32235794e+01, 2.98458219e+00, 0.00000000e+00
-1.28849926e+01, -5.38011789e+00, 1.24020576e-02, 1.11743311e+03, 8.33231049e+01, 3.19977307e+00, 0.00000000e+00
-1.25974674e+01, -5.53814507e+00, 1.24020576e-02, 1.08960925e+03, 8.40635605e+01, 3.39944148e+00, 0.00000000e+00
1.32175207e+01, 4.11611176e+00, 1.24020576e-02, 2.75374355e+01, 9.39385147e+01, -8.10443938e-01, 0.00000000e+00
1.32112417e+01, 3.73961186e+00, 1.24020576e-02, 3.25587616e+01, 9.32169800e+01, -4.78178769e-01, 0.00000000e+00
1.38188543e+01, 3.44316030e+00, 1.24020576e-02, 1.17592688e+01, 9.36628265e+01, 3.18112373e-01, 0.00000000e+00
1.36308308e+01, 3.51152039e+00, 1.24020576e-02, 1.78888493e+01, 9.33895264e+01, 1.25033900e-01, 0.00000000e+00
-1.24427500e+01, 2.02645755e+00, 1.24020576e-02, 1.06027991e+03, 8.10087662e+01, -8.13419819e-01, 0.00000000e+00
-1.26939402e+01, 1.91215146e+00, 1.24020576e-02, 1.06870264e+03, 8.08636093e+01, -7.35742748e-01, 0.00000000e+00
-1.24331169e+01, 1.76554954e+00, 1.24020576e-02, 1.05902087e+03, 8.09411392e+01, -6.91944301e-01, 0.00000000e+00
-3.06321669e+00, 5.89313889e+00, 1.24020576e-02, 5.67342041e+02, 8.98706970e+01, -4.53339182e-02, 0.00000000e+00
-3.16566181e+00, 5.64154243e+00, 1.24020576e-02, 5.81684937e+02, 9.03144684e+01, 7.03978315e-02, 0.00000000e+00
-2.87610579e+00, 5.54826164e+00, 1.24020576e-02, 5.63008911e+02, 9.04125137e+01, 2.32519224e-01, 0.00000000e+00
3.28848147e+00, 5.27446747e+00, 1.24020576e-02, 6.49544983e+01, 9.53489990e+01, -1.83605707e+00, 0.00000000e+00
3.06208658e+00, 5.03081799e+00, 1.24020576e-02, 5.34415321e+01, 9.52706070e+01, -1.63419247e+00, 0.00000000e+00
-1.57633886e+01, -4.16133612e-01, 1.24020576e-02, 1.11712976e+03, 8.00058289e+01, 1.48765370e-02, 0.00000000e+00
-1.56397896e+01, -1.60508707e-01, 1.24020576e-02, 1.11611011e+03, 8.00103531e+01, 8.50940216e-03, 0.00000000e+00
-1.58397551e+01, -1.58632115e-01, 1.24020576e-02, 1.11651660e+03, 8.00037613e+01, 4.20122175e-03, 0.00000000e+00
-3.86200333e+00, -4.31667423e+00, 1.24020576e-02, 7.10179932e+02, 8.69557495e+01, -7.32878566e-01, 0.00000000e+00
-3.73552752e+00, -4.09761238e+00, 1.24020576e-02, 7.15308167e+02, 8.66574173e+01, -9.59679663e-01, 0.00000000e+00
-4.04039907e+00, -4.13844061e+00, 1.24020576e-02, 7.26869934e+02, 8.65430603e+01, -7.21571684e-01, 0.00000000e+00
2.48401237e+00, 7.20090675e+00, 1.24020576e-02, 1.67068954e+02, 3.01878376e+01, -2.66055614e-01, 0.00000000e+00
2.18355131e+00, 7.20090055e+00, 1.24020576e-02, 1.84325439e+02, 3.04931965e+01, -2.48782173e-01, 0.00000000e+00
2.36710238e+00, 6.90180063e+00, 1.24020576e-02, 1.72592377e+02, 5.49708366e+01, -6.06469810e-01, 0.00000000e+00
-6.41300774e+00, -2.24138999e+00, 1.24020576e-02, 8.88971619e+02, 8.32658691e+01, 6.74775913e-02, 0.00000000e+00
-1.00312176e+01, -6.15612936e+00, 1.24020576e-02, 8.90265015e+02, 8.83267136e+01, 3.04761219e+00, 0.00000000e+00
-9.79243088e+00, -5.87865591e+00, 1.24020576e-02, 8.90736267e+02, 8.79820862e+01, 2.82508540e+00, 0.00000000e+00
-1.00696964e+01, -5.82371998e+00, 1.24020576e-02, 9.06560242e+02, 8.76219254e+01, 2.91065145e+00, 0.00000000e+00
1.33291330e+01, -5.07229567e+00, 1.24020576e-02, 1.96168232e+01, 9.48796463e+01, 1.91423953e+00, 0.00000000e+00
1.33888855e+01, -5.45583105e+00, 1.24020576e-02, 1.96056004e+01, 9.25473251e+01, 1.81669199e+00, 0.00000000e+00
1.36642218e+01, -5.24693441e+00, 1.24020576e-02, 9.72581005e+00, 9.40720291e+01, 1.89600956e+00, 0.00000000e+00
-7.75066423e+00, -6.56085014e+00, 1.24020576e-02, 7.94451233e+02, 8.04295425e+01, 1.70901930e+00, 0.00000000e+00
-7.51518583e+00, -6.85907745e+00, 1.24020576e-02, 7.79675659e+02, 6.21808586e+01, 9.90456283e-01, 0.00000000e+00
3.68585730e+00, 7.20093107e+00, 1.24020576e-02, 1.13344383e+02, 2.86563435e+01, -3.33280593e-01, 0.00000000e+00
3.38539624e+00, 7.20092487e+00, 1.24020576e-02, 1.24705971e+02, 2.90660114e+01, -3.34633559e-01, 0.00000000e+00
-1.07944174e+01, -3.82658124e+00, 1.24020576e-02, 9.91481201e+02, 8.28835449e+01, 1.72673321e+00, 0.00000000e+00
-1.08244638e+01, -3.50888658e+00, 1.24020576e-02, 9.95462158e+02, 8.25838242e+01, 1.55016983e+00, 0.00000000e+00
-1.10616331e+01, -3.68606019e+00, 1.24020576e-02, 1.00557092e+03, 8.26199265e+01, 1.68362892e+00, 0.00000000e+00
-4.00450468e+00, 3.00524545e+00, 1.24020576e-02, 7.93686523e+02, 8.45723953e+01, 1.34892678e+00, 0.00000000e+00
4.28724098e+00, 7.20094967e+00, 1.24020576e-02, 9.46605682e+01, 2.78116837e+01, -3.36189955e-01, 0.00000000e+00
3.98631859e+00, 7.20093727e+00, 1.24020576e-02, 1.03332207e+02, 2.82380085e+01, -3.35037202e-01, 0.00000000e+00
4.17263746e+00, 6.90187502e+00, 1.24020576e-02, 9.72891617e+01, 5.21773491e+01, -8.40226114e-01, 0.00000000e+00
1.33450499e+01, -3.42561674e+00, 1.24020576e-02, 1.37222729e+01, 9.46696320e+01, 2.37121964e+00, 0.00000000e+00
1.34185495e+01, -3.77099586e+00, 1.24020576e-02, 1.29413872e+01, 9.47202225e+01, 2.19762731e+00, 0.00000000e+00
1.36920567e+01, -3.52854395e+00, 1.24020576e-02, 6.01520157e+00, 9.43740311e+01, 2.49509048e+00, 0.00000000e+00
-1.01110773e+01, -4.76315403e+00, 1.24020576e-02, 9.41349854e+02, 8.45751877e+01, 2.16345024e+00, 0.00000000e+00
-1.02696924e+01, -4.48846769e+00, 1.24020576e-02, 9.55555481e+02, 8.40351791e+01, 2.03237748e+00, 0.00000000e+00
-1.03583355e+01, -4.81518602e+00, 1.24020576e-02, 9.53654114e+02, 8.45030975e+01, 2.26654315e+00, 0.00000000e+00
-6.41890001e+00, 6.45640254e-01, 1.24020576e-02, 9.19994873e+02, 8.24579468e+01, 2.07363497e-02, 0.00000000e+00
-6.48710728e+00, 3.68048012e-01, 1.24020576e-02, 9.22917175e+02, 8.24053421e+01, 7.02047860e-03, 0.00000000e+00
-6.16088295e+00, 4.67320293e-01, 1.24020576e-02, 9.23412170e+02, 8.24037170e+01, 4.03461419e-02, 0.00000000e+00
3.49254370e+00, -6.36801195e+00, 1.24020576e-02, 1.26638481e+02, 8.15780716e+01, 1.44724786e+00, 0.00000000e+00
3.33996320e+00, -6.61105442e+00, 1.24020576e-02, 1.42436111e+02, 7.14642105e+01, 1.14631045e+00, 0.00000000e+00
-1.29159145e+01, -4.39956099e-01, 1.24020576e-02, 1.07018103e+03, 8.06020126e+01, 1.39059037e-01, 0.00000000e+00
-1.27020836e+01, -3.05553913e-01, 1.24020576e-02, 1.06453113e+03, 8.06686630e+01, 9.24235657e-02, 0.00000000e+00
8.26909065e+00, 1.29346216e+00, 1.24020576e-02, 1.28400925e+02, 7.78995895e+01, 9.30773830e+00, 0.00000000e+00
8.52795887e+00, 1.14318776e+00, 1.24020576e-02, 6.56569366e+01, 7.39986038e+01, 1.02028532e+01, 0.00000000e+00
-6.51539421e+00, 5.60732698e+00, 1.24020576e-02, 7.62492493e+02, 8.86712646e+01, -1.25860465e+00, 0.00000000e+00
-6.34938288e+00, 5.37922478e+00, 1.24020576e-02, 7.66139282e+02, 8.80424423e+01, -1.09030533e+00, 0.00000000e+00
-6.19913149e+00, 5.64686155e+00, 1.24020576e-02, 7.50053711e+02, 8.88403854e+01, -1.14911449e+00, 0.00000000e+00
7.76849174e+00, 6.00518084e+00, 1.24020576e-02, 6.54369583e+01, 8.69117203e+01, -1.76079965e+00, 0.00000000e+00
7.57479334e+00, 6.30414486e+00, 1.24020576e-02, 6.36673546e+01, 7.85400009e+01, -1.49040258e+00, 0.00000000e+00
7.45688725e+00, 5.99761868e+00, 1.24020576e-02, 6.72073746e+01, 8.75769348e+01, -1.83069956e+00, 0.00000000e+00
-5.30006111e-01, -7.20184898e+00, 1.24020576e-02, 3.82532532e+02, 3.10896301e+01, -1.94792468e-02, 0.00000000e+00
-3.72486323e-01, -6.89491510e+00, 1.24020576e-02, 3.68912933e+02, 5.59020996e+01, 5.87854907e-03, 0.00000000e+00
8.53726101e+00, -5.81224108e+00, 1.24020576e-02, 7.29111176e+01, 9.05498734e+01, 1.85788727e+00, 0.00000000e+00
8.42793083e+00, -6.02067280e+00, 1.24020576e-02, 7.03646011e+01, 8.65345764e+01, 1.69587815e+00, 0.00000000e+00
4.92641401e+00, -1.79927498e-01, 1.24020576e-02, -1.22373253e+02, 3.38189583e+01, -1.48983431e+01, 0.00000000e+00
4.63724518e+00, -4.71643219e-03, 1.24020576e-02, -3.98207581e+02, 3.52431984e+01, -7.04391813e+00, 0.00000000e+00
4.70287561e+00, -3.30645889e-01, 1.24020576e-02, 4.55722733e+01, 2.75584488e+01, -4.72693396e+00, 0.00000000e+00
2.56880379e+00, 4.88288164e+00, 1.24020576e-02, 5.54173050e+01, 9.50321274e+01, -1.11737192e+00, 0.00000000e+00
2.70143247e+00, 4.58376932e+00, 1.24020576e-02, 2.48864021e+01, 9.48870773e+01, -1.15535963e+00, 0.00000000e+00
2.87989402e+00, 4.81285906e+00, 1.24020576e-02, 4.13483620e+01, 9.50839844e+01, -1.41996038e+00, 0.00000000e+00
-1.03937025e+01, 2.37452269e+00, 1.24020576e-02, 9.82788574e+02, 8.20881348e+01, -9.41553771e-01, 0.00000000e+00
9.86895657e+00, 5.97204828e+00, 1.24020576e-02, 5.32687874e+01, 8.62855606e+01, -1.65183926e+00, 0.00000000e+00
9.54201984e+00, 5.99711752e+00, 1.24020576e-02, 5.64038162e+01, 8.58400497e+01, -1.66434371e+00, 0.00000000e+00
9.69198418e+00, 5.73230410e+00, 1.24020576e-02, 5.70431633e+01, 9.09865799e+01, -1.86358011e+00, 0.00000000e+00
1.20031834e+01, 5.42039776e+00, 1.24020576e-02, 4.11035652e+01, 9.30046768e+01, -1.60747814e+00, 0.00000000e+00
1.21034584e+01, 5.06798029e+00, 1.24020576e-02, 4.20620766e+01, 9.42829971e+01, -1.64259112e+00, 0.00000000e+00
1.23200197e+01, 5.23125935e+00, 1.24020576e-02, 3.87808723e+01, 9.38314438e+01, -1.56644058e+00, 0.00000000e+00
9.08467102e+00, -1.00560033e+00, 1.24020576e-02, 2.41268539e+02, 7.37076035e+01, 9.39042759e+00, 0.00000000e+00
9.15744400e+00, -7.38306344e-01, 1.24020576e-02, 2.10384094e+02, 6.86444702e+01, 1.16964426e+01, 0.00000000e+00
8.87045574e+00, -8.56084585e-01, 1.24020576e-02, 2.05954605e+02, 7.37581253e+01, 1.34631872e+01, 0.00000000e+00
6.00494719e+00, 7.25177467e-01, 1.24020576e-02, 2.68401367e+02, 6.75282669e+01, -1.78467255e+01, 0.00000000e+00
6.29860592e+00, 5.34321904e-01, 1.24020576e-02, 2.70081726e+02, 5.78094521e+01, -1.64365597e+01, 0.00000000e+00
6.29816532e+00, 8.61675858e-01, 1.24020576e-02, 3.49172058e+02, 6.68777695e+01, -1.12359886e+01, 0.00000000e+00
-4.27054644e+00, 5.78547359e-01, 1.24020576e-02, 9.84827759e+02, 8.16450043e+01, 5.16563535e-01, 0.00000000e+00
-4.28145456e+00, 7.91787148e-01, 1.24020576e-02, 9.73839539e+02, 8.18033295e+01, 6.75669432e-01, 0.00000000e+00
-4.52427769e+00, 6.15477920e-01, 1.24020576e-02, 9.67388672e+02, 8.18642120e+01, 4.24145281e-01, 0.00000000e+00
-8.37126160e+00, 2.39892626e+00, 1.24020576e-02, 9.17822571e+02, 8.28929749e+01, -6.25727654e-01, 0.00000000e+00
-8.63102150e+00, 2.55617046e+00, 1.24020576e-02, 9.22299805e+02, 8.29119415e+01, -7.43076980e-01, 0.00000000e+00
-8.76961231e+00, 2.27642965e+00, 1.24020576e-02, 9.31046875e+02, 8.26816559e+01, -6.66647077e-01, 0.00000000e+00
1.05868959e+01, 7.21988726e+00, 1.24020576e-02, 4.25254211e+01, 2.06865406e+01, -6.80875555e-02, 0.00000000e+00
1.02663870e+01, 7.22851372e+00, 1.24020576e-02, 4.15183563e+01, 2.04309082e+01, -9.68991220e-02, 0.00000000e+00
1.04434814e+01, 6.92623091e+00, 1.24020576e-02, 4.35209923e+01, 4.09375114e+01, -3.25958222e-01, 0.00000000e+00
6.45508862e+00, -4.89459419e+00, 1.24020576e-02, 8.12356033e+01, 9.50058823e+01, 2.49560070e+00, 0.00000000e+00
1.69365871e+00, 4.80799246e+00, 1.24020576e-02, 8.77106476e+01, 9.44889145e+01, -1.92563549e-01, 0.00000000e+00
1.88307655e+00, 5.05313301e+00, 1.24020576e-02, 9.81497803e+01, 9.47871628e+01, -5.47972977e-01, 0.00000000e+00
-1.44805555e+01, 3.04226899e+00, 1.24020576e-02, 1.15105579e+03, 8.03156967e+01, -7.88934767e-01, 0.00000000e+00
-1.47032986e+01, 2.90339160e+00, 1.24020576e-02, 1.15189001e+03, 8.02120743e+01, -6.22586191e-01, 0.00000000e+00
-1.44745121e+01, 2.71591115e+00, 1.24020576e-02, 1.14069006e+03, 8.02805405e+01, -6.70648754e-01, 0.00000000e+00
4.03526020e+00, -4.22060585e+00, 1.24020576e-02, 4.60962791e+01, 9.39351578e+01, 1.91750824e+00, 0.00000000e+00
4.37430525e+00, -4.11785126e+00, 1.24020576e-02, 5.34804573e+01, 9.38241730e+01, 1.94812906e+00, 0.00000000e+00
1.22159595e+01, 6.83898258e+00, 1.24020576e-02, 4.84188576e+01, 4.44799538e+01, -4.33824986e-01, 0.00000000e+00
1.20642738e+01, 6.54831743e+00, 1.24020576e-02, 4.46423721e+01, 6.14869423e+01, -6.89834297e-01, 0.00000000e+00
-1.56531830e+01, 1.25014269e+00, 1.24020576e-02, 1.12461755e+03, 8.00118866e+01, -6.47841245e-02, 0.00000000e+00
-4.41310048e-01, 6.48718548e+00, 1.24020576e-02, 3.48839050e+02, 7.85914536e+01, 1.16552711e-02, 0.00000000e+00
-2.18678460e-01, 6.25695133e+00, 1.24020576e-02, 3.24584778e+02, 8.63797073e+01, 1.30641339e-02, 0.00000000e+00
-1.22916713e-01, 6.59636211e+00, 1.24020576e-02, 3.29317749e+02, 7.46227646e+01, -6.21815324e-02, 0.00000000e+00
-1.27631521e+01, -6.68429565e+00, 1.24020576e-02, 1.07255396e+03, 8.69511871e+01, 5.04349756e+00, 0.00000000e+00
-1.27587090e+01, -6.91820860e+00, 1.24020576e-02, 1.05452356e+03, 7.99897079e+01, 4.73024130e+00, 0.00000000e+00
-1.25369015e+01, -6.81121588e+00, 1.24020576e-02, 1.03237463e+03, 8.42976761e+01, 4.63851500e+00, 0.00000000e+00
1.25851460e+01, 6.81786156e+00, 1.24020576e-02, 4.61750488e+01, 4.57261620e+01, -5.08150220e-01, 0.00000000e+00
1.26931067e+01, 7.15650654e+00, 1.24020576e-02, 4.62861252e+01, 2.20517673e+01, -2.42643937e-01, 0.00000000e+00
1.23922253e+01, 7.18079281e+00, 1.24020576e-02, 5.09620743e+01, 2.28813763e+01, -1.28871083e-01, 0.00000000e+00
6.41762781e+00, 5.71303701e+00, 1.24020576e-02, 6.89836578e+01, 9.25488358e+01, -2.19022298e+00, 0.00000000e+00
6.19080210e+00, 5.96757603e+00, 1.24020576e-02, 6.81282806e+01, 8.94584808e+01, -2.05459213e+00, 0.00000000e+00
-7.82490253e+00, -2.78432667e-01, 1.24020576e-02, 9.33588928e+02, 8.22786407e+01, 5.38042746e-02, 0.00000000e+00
-3.75133455e-02, -6.89612007e+00, 1.24020576e-02, 3.45449249e+02, 5.63804131e+01, 7.02498108e-02, 0.00000000e+00
1.32034913e-01, -6.59302902e+00, 1.24020576e-02, 3.26112915e+02, 7.47434311e+01, 1.54664755e-01, 0.00000000e+00
9.89859867e+00, -4.62923574e+00, 1.24020576e-02, 9.47993622e+01, 9.40442886e+01, 1.50568199e+00, 0.00000000e+00
1.00361052e+01, -4.30958605e+00, 1.24020576e-02, 1.00974899e+02, 9.35346909e+01, 1.29499817e+00, 0.00000000e+00
9.72238541e+00, -4.39401865e+00, 1.24020576e-02, 1.02577080e+02, 9.35426331e+01, 1.52954209e+00, 0.00000000e+00
6.69185352e+00, 7.20101166e+00, 1.24020576e-02, 6.45882034e+01, 2.49184551e+01, -2.52009481e-01, 0.00000000e+00
6.88370705e+00, 6.90202284e+00, 1.24020576e-02, 6.32061462e+01, 4.73825493e+01, -6.66505158e-01, 0.00000000e+00
6.99185324e+00, 7.20101166e+00, 1.24020576e-02, 6.19975967e+01, 2.45749798e+01, -2.59822458e-01, 0.00000000e+00
1.35990467e+01, 7.22499990e+00, 1.24020576e-02, 3.27399216e+01, 1.79815197e+01, -6.01666629e-01, 0.00000000e+00
1.34743690e+01, 6.96648121e+00, 1.24020576e-02, 3.40247536e+01, 3.65304413e+01, -5.52809536e-01, 0.00000000e+00
1.37412071e+01, 7.00526857e+00, 1.24020576e-02, 1.50671635e+01, 3.29558258e+01, -9.12910163e-01, 0.00000000e+00
9.18282413e+00, -4.55236387e+00, 1.24020576e-02, 9.91600189e+01, 9.38513184e+01, 1.92212915e+00, 0.00000000e+00
8.83618450e+00, -4.53095150e+00, 1.24020576e-02, 1.00201233e+02, 9.37817917e+01, 2.15087008e+00, 0.00000000e+00
8.94167042e+00, -4.84036732e+00, 1.24020576e-02, 9.27986679e+01, 9.42659683e+01, 2.04682803e+00, 0.00000000e+00
1.09083242e+01, -5.19439459e+00, 1.24020576e-02, 7.33716202e+01, 9.44134445e+01, 1.46055114e+00, 0.00000000e+00
9.51007843e-01, 4.41010475e+00, 1.24020576e-02, 1.08731445e+02, 9.35437851e+01, 9.97731864e-01, 0.00000000e+00
1.16032815e+00, 4.05457163e+00, 1.24020576e-02, 4.29061394e+01, 9.37642441e+01, 1.21498084e+00, 0.00000000e+00
1.33373451e+00, 4.30523777e+00, 1.24020576e-02, 6.07670746e+01, 9.39498672e+01, 6.84686959e-01, 0.00000000e+00
-1.34100027e+01, 5.98683643e+00, 1.24020576e-02, 1.17915601e+03, 8.42419662e+01, -4.22937632e+00, 0.00000000e+00
-1.34830723e+01, 5.70440722e+00, 1.24020576e-02, 1.18169495e+03, 8.32930984e+01, -3.70699239e+00, 0.00000000e+00
-1.31967878e+01, 5.69976282e+00, 1.24020576e-02, 1.14845874e+03, 8.37170715e+01, -3.74215961e+00, 0.00000000e+00
-1.37816553e+01, -5.83477020e+00, 1.24020576e-02, 1.22926404e+03, 8.30160980e+01, 3.66707993e+00, 0.00000000e+00
-1.38954020e+01, -5.58463144e+00, 1.24020576e-02, 1.23264197e+03, 8.23342972e+01, 3.19875407e+00, 0.00000000e+00
-6.09670639e+00, 7.81880438e-01, 1.24020576e-02, 9.19284241e+02, 8.24725342e+01, 7.63968155e-02, 0.00000000e+00
-2.80634546e+00, -5.35763216e+00, 1.24020576e-02, 5.81254272e+02, 9.02970810e+01, -4.13395375e-01, 0.00000000e+00
-3.01824546e+00, -5.05341578e+00, 1.24020576e-02, 6.10892944e+02, 8.93575058e+01, -6.12140596e-01, 0.00000000e+00
-3.18134546e+00, -5.35763216e+00, 1.24020576e-02, 6.10750793e+02, 8.99786377e+01, -2.62782097e-01, 0.00000000e+00
-8.12416852e-01, -4.45574379e+00, 1.24020576e-02, 3.70258270e+02, 9.09714584e+01, -1.99448037e+00, 0.00000000e+00
